name,latitude,longitude
Aghnafarcan,54.06291,-6.74602
Aghnagap,54.22504,-6.90427
Aghnagarron,53.79939,-7.49884
Aghnagillagh,53.45699,-7.05736
Aghnaglear,52.51443,-6.86056
Aghnaglogh,53.95847,-7.34257
Aghnagollop,54.03528,-8.02322
Aghnagore,53.72851,-7.90341
Aghnagrange,53.96023,-8.30584
Aghnagross,52.94979,-7.97113
Aghnaguig,54.06728,-7.40475
Aghnaha,54.36259,-6.9314
Aghnahaha,54.38049,-8.15338
Aghnahaia Glebe,53.90947,-7.34319
Aghnahederny,53.85083,-7.28885
Aghnahily,53.02436,-7.21204
Aghnahily Bog,53.03364,-7.23748
Aghnahola,54.12299,-7.25888
Aghnahoo,54.02648,-8.00475
Aghnahoo Glebe,54.53885,-7.85879
Aghnahunshin,53.82336,-7.91315
Aghnakeeragh,54.86548,-7.6209
Aghnamaddoo,53.78344,-7.77824
Aghnamallagh,54.23568,-7.06188
Aghnamard,54.14359,-7.2142
Aghnameadle,52.84656,-7.97806
Aghnameal,54.1916,-6.85096
Aghnamona,53.82795,-7.89568
Aghnamullen,54.09505,-6.95336
Aghnananagh,53.30274,-7.59325
Aghnaneane,53.8247,-6.85812
Aghnasedagh,54.24896,-6.9373
Aghnashalvy,54.25661,-7.13705
Aghnashannagh,53.78453,-7.6635
Aghnashingan,53.64359,-7.82522
Aghnasillagh,53.64305,-7.71532
Aghnaskea,53.68343,-7.87225
Aghnaskeagh,53.80456,-7.267
Aghnaskerry,53.99253,-7.35392
Aghnaskew,54.07587,-6.93766
Aghnasullivan,53.38608,-7.8369
Aghnasurn,54.02312,-8.25374
Aghnavar,54.40276,-6.99884
Aghnavealoge,53.62421,-7.58808
Aghody,52.99134,-7.77983
Aghoney,52.93411,-7.19312
Aghoo,54.0272,-7.80318
Aghoo East,54.02711,-7.7908
Aghoos,54.2466,-9.77079
Aghoo West,54.03354,-7.80391
Aghort,51.84438,-10.32452
Aghoutereery,53.8436,-7.29043
Aghowle Lower,52.99211,-6.16648
Aghowle Upper,52.75447,-6.60302
Aghpaudeen,53.26209,-6.70637
Aghraboy,53.11956,-7.68585
Aghrafinigan,54.01792,-8.22665
Aghragh,54.65152,-8.65999
Aghrane,53.54408,-8.33593
Aghsmear,52.90678,-7.79933
Aghtaboy,53.81597,-8.8737
Aghuldred,53.35309,-7.46228
Aghullaghy,53.99579,-7.52253
Aghwater,52.81452,-6.8176
Aghyohil Beg,51.70583,-8.8815
Aghyohil More,51.70841,-8.89019
Aghyowla,54.04866,-7.76768
Aghyrassy,53.38827,-7.46429
Aglish,52.98702,-8.99991
Aglish North,52.28445,-7.19776
Aglish South,52.27761,-7.20918
Agloragh,53.73141,-8.77991
Agrimhill,53.12333,-8.29952
Ahabeg,52.62701,-8.51455
Ahaclare,52.80079,-8.70188
Ahacore,52.63759,-8.43005
Ahadagh,52.38076,-8.89203
Ahadallane,52.02264,-8.69766
Ahaga,52.70304,-9.3471
Ahagilla,51.58598,-8.93124
Ahaglaslin,51.5722,-8.9996
Ahaglugger,53.25155,-9.15769
Ahakeera,51.7769,-9.04057
Ahakista,51.5999,-9.63219
Ahalahana,52.50389,-9.40005
Ahalisky,51.67968,-8.85022
Ahanagh,53.81353,-7.88083
Ahanaglogh,52.18927,-7.45565
Ahanduff Beg,53.17278,-8.31968
Ahanduff More,53.1755,-8.32087
Ahane,52.02854,-9.85451
Ahane Beg,52.0947,-9.1181
Ahaneboy,52.27754,-9.43012
Ahane Lower,52.09152,-9.1318
Ahane Upper,52.10101,-9.12741
Ahanroe,53.83003,-9.24695
Ahanure North,52.52454,-7.43196
Ahanure South,52.5192,-7.41553
Ahapouleen,53.22391,-8.95974
Ahare,52.71025,-6.18733
Aharinaghbeg,52.74765,-8.60351
Aharinaghmore,52.74788,-8.58191
Aharney,52.80717,-7.41507
Ahascra,52.46897,-9.61258
Ahascragh,53.39761,-8.33463
Ahascragh East,53.40001,-8.32713
Ahascragh West,53.39632,-8.33633
Ahasla,52.88563,-9.1128
Ahaun,53.56966,-8.60727
Ahaunboy North,52.12604,-8.00242
Ahaunboy South,52.11585,-8.00581
Ahaveheen,52.38673,-8.91517
Ahawilk,52.38871,-8.9955
Ahena,53.7124,-9.0893
Ahenny,52.41062,-7.39747
Ahenny Little,52.41656,-7.40173
Aherla,51.85367,-8.7326
Aherla Beg,51.85538,-8.75538
Aherla More,51.85509,-8.73013
Ahgloragh,53.50632,-8.78111
Ahidelake,51.60916,-8.8486
Ahil Beg,51.76531,-9.38137
Ahildotia,51.76113,-9.37606
Ahil More,51.75613,-9.3992
Ahimma,52.49102,-9.65088
Ahnagurra,52.35619,-8.36896
Aighan,54.64711,-8.38607
Aighe,54.73053,-8.43929
Aillbrack,52.89308,-9.34707
Ailldavore,52.82342,-9.19827
Aille,53.27525,-9.16016
Aillebaun,53.65466,-9.55777
Aillebrack,53.41367,-10.12918
Aillemore,52.80934,-8.51149
Aillenacally,53.42211,-9.89078
Aillenaveagh,53.52155,-9.91085
Aillroe Beg,52.62161,-9.18857
Aillroe More,52.64082,-9.18504
Aillvaun,52.94614,-8.65246
Aillwee,53.08637,-9.11063
Airgloony,53.52546,-8.8789
Akip,52.8827,-7.57125
Alasty,53.27172,-6.60356
Alderborough,53.24116,-7.33849
Alderford,54.072,-8.20232
Aldridge,52.21389,-6.90384
Aldworth,52.0946,-8.72898
Alexander Reid,53.64828,-6.64105
Alkill,54.25039,-6.86404
Alla,54.54115,-8.17503
Allagesh,54.26188,-7.10858
Allaghee Beg,51.85414,-10.36151
Allaghee More,51.81252,-10.33296
Allagh Island,55.07898,-8.36955
Allagour,53.24266,-6.37336
Allaphreaghaun,53.25796,-9.23187
Allardstown,53.9943,-6.48173
Allcollege,53.56842,-6.42893
Alleen,52.53021,-8.10958
Alleendarra East,53.03645,-8.43002
Alleendarra West,53.04119,-8.44904
Allenagh,53.74076,-7.75524
Allengort,52.66608,-7.95121
Allenstown Big,52.22044,-6.40063
Allenstown Demesne,53.67654,-6.83169
Allenstown Little,52.22464,-6.40554
Allenswood,53.37906,-6.4667
Allenwood,53.28395,-6.86185
Allenwood Middle,53.28576,-6.88734
Allenwood North,53.29411,-6.89087
Allenwood South,53.27841,-6.89641
Alliganstown,53.10011,-6.64426
Allihies,51.64733,-10.05146
Alloonbaun,53.38393,-8.48401
Alloon Lower,53.39235,-8.47874
Alloon Upper,53.3885,-8.49348
Allygola,53.11418,-8.46345
Allykeolaun,53.10561,-8.49005
Almondstown,53.78542,-6.27827
Alohart,52.02261,-9.68227
Alsmeed,54.16292,-6.65678
Alt,54.19484,-9.8932
Altachullion Lower,54.16466,-7.79168
Altachullion Upper,54.15506,-7.78564
Altadoo,54.6749,-8.16825
Altadush,54.9338,-7.96703
Altaghaderry,54.98995,-7.41219
Altagowlan,54.11324,-8.15441
Altahalla,55.24247,-7.40622
Altakeeran,54.11678,-7.89644
Altamira,52.27752,-8.79181
Altamont,52.73613,-6.72028
Altan,55.04196,-8.07823
Altanelvick,54.20667,-8.65302
Altans,54.24124,-8.84506
Altar,51.51973,-9.63806
Altartate Glebe,54.18143,-7.21733
Altashane,55.24877,-7.34751
Altaskin,54.93096,-7.47282
Altateskin,54.15157,-7.79509
Altatraght,54.82922,-8.02431
Altavilla,52.97115,-7.56781
Altavra,54.2145,-8.11886
Altbaun,53.86769,-9.05076
Altbeagh,53.97014,-7.1959
Altbrean,54.17071,-7.78106
Altclogh,54.70742,-8.64655
Altcor,54.69506,-8.29032
Altcrock,54.14685,-7.80612
Altderg,54.23181,-9.48843
Alteen,54.20416,-7.76241
Alteenacres Glebe,54.19405,-8.05844
Alternan Park,54.27075,-8.9015
Altidore Demesne,53.10735,-6.14658
Altilow,54.70547,-8.09956
Altinierin,54.91815,-7.96447
Altinure,54.15901,-7.76771
Altiquin,54.12413,-8.11688
Altlahan,54.87468,-7.96421
Alt Lower,54.77033,-7.5889
Altmush,53.83306,-6.80002
Altnabrocky,54.06456,-9.62054
Altnadarragh,54.16047,-7.81248
Altnagapple,54.73149,-8.38653
Altnapaste,54.79692,-7.92543
Altnasheen,54.18134,-7.93388
Altoghil,54.09791,-8.10346
Altore,53.69864,-8.68193
Alts,53.97764,-6.79761
Altshallan,54.17059,-7.91999
Alt Upper,54.75706,-7.60742
Altvelid,54.20091,-8.35652
Alva,52.72679,-9.41353
Amberhill,52.22536,-7.265
Ambrosetown,52.24987,-6.6689
America,53.32037,-8.07048
Amogan Beg,52.53142,-8.89962
Amogan More,52.51764,-8.89119
Amorset,54.31213,-8.19277
Anablaha,52.12685,-9.38762
Anaglog,53.81585,-6.5284
Anaharlick,51.7836,-9.02129
Anascaul,52.15108,-10.05675
Anatrim,52.9805,-7.56188
Anaverna,54.06642,-6.33151
Anbally,53.41992,-8.89743
Andresna,54.04342,-8.28532
Anglesborough,52.33716,-8.26968
Angliham,53.32192,-9.05935
Anglode,52.60946,-8.52099
Anglont,52.10167,-9.75457
Anglore,52.24245,-9.44816
Angram,51.643,-9.29221
Anhid East,52.50203,-8.71331
Anhid West,52.50055,-8.72628
Ankail,51.8325,-9.84489
Ankers Bower,53.41944,-7.92862
Anna Beg,52.20299,-9.47751
Annabella,52.14015,-8.66752
Annacarney,53.09079,-6.52564
Annacarriga,51.75885,-8.34964
Annacarty,52.56442,-8.11039
Annacatty,54.30682,-6.86427
Annacloghan,54.05586,-8.10036
Annacotty,52.66805,-8.53768
Annacramph,54.25879,-6.88539
Annacrivey,53.19172,-6.22225
Annacroff,53.96981,-6.67632
Annadale,52.09564,-9.76566
Annadrumman,54.09429,-6.69875
Annaduff,53.92259,-7.98946
Annaduff Glebe,53.92637,-7.97742
Annafarney,54.01139,-6.95452
Annagally,54.30855,-7.03865
Annagannihy,52.0171,-8.88326
Annagap,52.15892,-10.06773
Annagar,52.71482,-7.06835
Annagary,55.00603,-8.3197
Annagassan,53.88262,-6.34349
Annagelliff,53.98758,-7.34099
Annagerril,54.00548,-6.62268
Annagh,53.96121,-7.47823
Annaghaderg,54.01905,-7.91443
Annaghanerrig,53.11408,-7.95534
Annaghanmoney,53.97007,-6.62842
Annaghard,54.04692,-7.05391
Annagharnet,53.87275,-7.05517
Annagharvey,53.25559,-7.39496
Annaghaskin,53.21081,-6.17364
Annaghasna,53.97942,-7.95978
Annaghbeg,53.47268,-9.36975
Annagh Beg,51.79367,-8.60907
Annagh Bogs,52.2977,-8.75275
Annaghboy,54.24854,-8.18927
Annaghbrack,54.20451,-7.0666
Annaghbrack Glebe,53.18216,-7.57102
Annaghbradican,53.98025,-7.98576
Annaghbride,53.18931,-8.47167
Annaghcallow,53.21941,-8.20996
Annaghcarthy,54.12492,-8.32591
Annagh Central,52.73852,-6.35192
Annaghcooleen,53.80006,-7.86806
Annaghcor,54.08437,-8.3695
Annaghcorrib,53.25817,-8.10424
Annaghdaniel,53.8743,-7.64724
Annaghderg Lower,53.98486,-7.85276
Annaghderg Upper,53.98769,-7.84475
Annaghdown,53.39428,-9.07513
Annaghduff,54.05475,-7.33519
Annagheane,54.11194,-7.29158
Annaghearly,53.98855,-7.98966
Annagh East,53.40621,-9.04432
Annaghervy,54.23982,-7.05349
Annaghfin,52.51124,-6.4925
Annaghgap,52.75078,-6.36658
Annaghgerry,54.16347,-8.1121
Annaghgortagh,53.43847,-7.86917
Annaghgowan,54.05614,-8.29753
Annaghhill,52.74456,-6.37651
Annagh Hill,53.40339,-8.82339
Annaghierin,53.98201,-6.94501
Annaghilymore,52.09368,-9.35323
Annagh Island,53.98317,-9.86719
Annaghkeelaun,53.42563,-9.27993
Annaghkeen,53.44746,-9.19039
Annaghkeenty,53.99704,-7.96675
Annaghkilly,54.17435,-7.18924
Annaghlee,54.05932,-7.10038
Annagh Long,52.74721,-6.35097
Annagh Lower,54.17045,-8.04372
Annaghloy,54.05121,-8.3106
Annaghmaconway,53.94222,-7.81023
Annaghmacullen,53.95053,-7.77939
Annaghmaghera,53.79976,-8.54753
Annaghmagurthan,53.97435,-8.13819
Annaghmartin,54.22823,-7.11489
Annagh Middle,52.72934,-6.36203
Annaghminnan,53.95141,-6.61357
Annaghmona,53.97031,-8.14729
Annaghmore,53.88834,-7.79282
